Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
133;50,4383530664824;21,9350004831978;13,3;198
134;50,4385434027609;21,9363805109639;13,4;201
135;50,4387337227181;21,9377605498281;13,5;189
136;50,4389240263538;21,9391405997895;13,6;189
137;50,4391143136678;21,9405206608474;13,7;195
138;50,4393045846599;21,941900733001;13,8;198
139;50,4394948393297;21,9432808162495;13,9;186
140;50,4396850776771;21,9446609105921;14;182
141;50,4398752997018;21,946041016028;14,1;188
142;50,4400655054036;21,9474211325565;14,2;191
143;50,4402556947822;21,9488012601767;14,3;182
144;50,4404458678373;21,9501813988878;14,4;190
145;50,4406360245689;21,9515615486892;14,5;191
146;50,4408261649765;21,9529417095799;14,6;184
147;50,44101628906;21,9543218815592;14,7;191
148;50,4412063968191;21,9557020646263;14,8;183
149;50,4413964882536;21,9570822587804;14,9;190
150;50,4415865633632;21,9584624640207;15;191
151;50,4417766221477;21,9598426803465;15,1;183
152;50,4419666646069;21,961222907757;15,2;191
153;50,4421566907405;21,9626031462513;15,3;187
154;50,4423467005482;21,9639833958287;15,4;181
155;50,4425366940299;21,9653636564883;15,5;178
156;50,4427266711853;21,9667439282295;15,6;176
157;50,4429166320141;21,9681242110514;15,7;169
158;50,4431065765161;21,9695045049532;15,8;176
159;50,4432965046911;21,9708848099341;15,9;173
160;50,4434864165388;21,9722651259934;16;173
161;50,443676312059;21,9736454531303;16,1;178
162;50,4438661912515;21,9750257913439;16,2;165
163;50,4440560541159;21,9764061406335;16,3;163
164;50,4442459006521;21,9777865009982;16,4;170
165;50,4444357308598;21,9791668724374;16,5;170
166;50,4446255447388;21,9805472549502;16,6;159
167;50,4448153422888;21,9819276485358;16,7;162
168;50,4450051235096;21,9833080531935;16,8;155
169;50,445194888401;21,9846884689224;16,9;165
170;50,4453846369627;21,9860688957217;17;163
171;50,4455743691944;21,9874493335907;17,1;163
172;50,445764085096;21,9888297825286;17,2;165
173;50,4459537846672;21,9902102425346;17,3;160
174;50,4461434679077;21,9915907136079;17,4;160
175;50,4463331348173;21,9929711957476;17,5;178
176;50,4465227853958;21,9943516889531;17,6;160
177;50,4467124196429;21,9957321932236;17,7;166
178;50,4469020375584;21,9971127085582;17,8;166
179;50,4470916391421;21,9984932349561;17,9;154
180;50,4472812243936;21,9998737724166;18;153
181;50,4474707933128;22,0012543209388;18,1;158
182;50,4476603458994;22,002634880522;18,2;168
183;50,4478498821532;22,0040154511655;18,3;165
184;50,4480394020739;22,0053960328683;18,4;166
185;50,4482289056614;22,0067766256297;18,5;163
186;50,4484183929153;22,008157229449;18,6;160
187;50,4486078638354;22,0095378443253;18,7;163
188;50,4487973184214;22,0109184702578;18,8;162
189;50,4489867566732;22,0122991072458;18,9;161
190;50,4491761785905;22,0136797552884;19;161
191;50,4493655841731;22,015060414385;19,1;166
192;50,4495549734207;22,0164410845346;19,2;171
193;50,449744346333;22,0178217657364;19,3;172
194;50,4499337029099;22,0192024579898;19,4;171
195;50,450123043151;22,0205831612939;19,5;157
196;50,4503123670562;22,0219638756479;19,6;164
197;50,4505016746252;22,023344601051;19,7;160
198;50,4506909658578;22,0247253375025;19,8;161
199;50,4508802407537;22,0261060850015;19,9;178
200;50,4510694993127;22,0274868435473;20;160
201;50,4512587415345;22,028867613139;20,1;167
202;50,4514479674189;22,0302483937759;20,2;169
203;50,4516371769657;22,0316291854572;20,3;166
204;50,4518263701747;22,0330099881821;20,4;164
205;50,4520155470455;22,0343908019498;20,5;164
206;50,4522047075779;22,0357716267595;20,6;157
207;50,4523938517718;22,0371524626104;20,7;163
208;50,4525829796268;22,0385333095017;20,8;162
209;50,4527720911427;22,0399141674327;20,9;168
210;50,4529611863193;22,0412950364025;21;175
211;50,4531502651564;22,0426759164104;21,1;178
212;50,4533393276536;22,0440568074555;21,2;174
213;50,4535283738108;22,0454377095371;21,3;179
214;50,4537174036278;22,0468186226544;21,4;177
215;50,4539064171042;22,0481995468065;21,5;182
216;50,4540954142398;22,0495804819928;21,6;186
217;50,4542843950344;22,0509614282123;21,7;172
218;50,4544733594878;22,0523423854644;21,8;181
219;50,4546623075997;22,0537233537482;21,9;199
220;50,4548512393699;22,0551043330629;22;171
221;50,4550401547982;22,0564853234078;22,1;177
222;50,4552290538842;22,057866324782;22,2;184
223;50,4554179366278;22,0592473371847;22,3;178
224;50,4556068030287;22,0606283606152;22,4;197
225;50,4557956530866;22,0620093950727;22,5;176
226;50,4559844868014;22,0633904405564;22,6;167
227;50,4561733041728;22,0647714970654;22,7;172
228;50,4563621052006;22,066152564599;22,8;182
229;50,4565508898844;22,0675336431565;22,9;184
230;50,4567396582242;22,0689147327369;23;180
231;50,4569284102196;22,0702958333395;23,1;189
232;50,4571171458703;22,0716769449636;23,2;195
233;50,4573058651763;22,0730580676083;23,3;193
234;50,4574945681371;22,0744392012728;23,4;196
235;50,4576832547526;22,0758203459564;23,5;203
236;50,4578719250225;22,0772015016582;23,6;209
237;50,4580605789467;22,0785826683775;23,7;212
238;50,4582492165248;22,0799638461135;23,8;193
239;50,4584378377566;22,0813450348653;23,9;200
240;50,4586264426419;22,0827262346322;24;194
241;50,4588150311804;22,0841074454134;24,1;189
242;50,4590036033719;22,0854886672081;24,2;181
243;50,4591921592161;22,0868699000155;24,3;164
244;50,4593806987129;22,0882511438348;24,4;180
245;50,4595692218619;22,0896323986652;24,5;174
246;50,459757728663;22,0910136645059;24,6;180
247;50,4599462191159;22,0923949413562;24,7;171
248;50,4601346932203;22,0937762292151;24,8;177
249;50,4603231509761;22,0951575280821;24,9;185
250;50,4605115923829;22,0965388379561;25;176
251;50,4607000174406;22,0979201588366;25,1;180
252;50,4608884261488;22,0993014907226;25,2;185
253;50,4610768185074;22,1006828336133;25,3;179
254;50,4612651945162;22,1020641875081;25,4;177
255;50,4614535541748;22,103445552406;25,5;174
256;50,461641897483;22,1048269283063;25,6;166
257;50,4618302244406;22,1062083152082;25,7;176
258;50,4620185350474;22,1075897131109;25,8;170
259;50,4622068293031;22,1089711220136;25,9;171
260;50,4623951072075;22,1103525419155;26;177
261;50,4625833687603;22,1117339728158;26,1;177
262;50,4627716139613;22,1131154147137;26,2;175
263;50,4629598428103;22,1144968676085;26,3;171
264;50,463148055307;22,1158783314993;26,4;174
265;50,4633362514512;22,1172598063853;26,5;169
266;50,4635244312426;22,1186412922658;26,6;181
267;50,463712594681;22,12002278914;26,7;174
268;50,4639007417662;22,121404297007;26,8;167
269;50,4640888724979;22,122785815866;26,9;174
270;50,4642769868759;22,1241673457163;27;182
271;50,4644650848999;22,1255488865571;27,1;168
272;50,4646531665697;22,1269304383876;27,2;171
273;50,4648412318851;22,128312001207;27,3;179
274;50,4650292808458;22,1296935750144;27,4;185
275;50,4652173134516;22,1310751598092;27,5;185
276;50,4654053297023;22,1324567555904;27,6;185
277;50,4655933295975;22,1338383623574;27,7;181
278;50,4657813131371;22,1352199801092;27,8;169
279;50,4659692803209;22,1366016088452;27,9;168
280;50,4661572311485;22,1379832485645;28;151
281;50,4663451656198;22,1393648992663;28,1;158
282;50,4665330837345;22,1407465609499;28,2;160
283;50,4667209854924;22,1421282336143;28,3;165
284;50,4669088708931;22,143509917259;28,4;164
285;50,4670967399366;22,1448916118829;28,5;171
286;50,4672845926226;22,1462733174854;28,6;166
287;50,4674724289507;22,1476550340657;28,7;164
288;50,4676602489208;22,1490367616229;28,8;159
289;50,4678480525327;22,1504185001563;28,9;166
290;50,468035839786;22,1518002496651;29;164
291;50,4682236106807;22,1531820101484;29,1;167
292;50,4684113652163;22,1545637816055;29,2;169
293;50,4685991033927;22,1559455640356;29,3;166
294;50,4687868252096;22,1573273574378;29,4;157
295;50,4689745306669;22,1587091618115;29,5;159
296;50,4691622197642;22,1600909771557;29,6;164
297;50,4693498925013;22,1614728034697;29,7;160
298;50,469537548878;22,1628546407528;29,8;160
299;50,4697251888941;22,164236489004;29,9;165
300;50,4699128125492;22,1656183482227;30;161
301;50,4701004198432;22,1670002184079;30,1;171
302;50,4702880107759;22,168382099559;30,2;170
303;50,4704755853469;22,1697639916751;30,3;158
304;50,4706631435561;22,1711458947554;30,4;152
305;50,4708506854032;22,1725278087992;30,5;153
306;50,471038210888;22,1739097338055;30,6;149
307;50,4712257200102;22,1752916697737;30,7;156
308;50,4714132127696;22,176673616703;30,8;157
309;50,4716006891659;22,1780555745925;30,9;160
310;50,471788149199;22,1794375434414;31;157
311;50,4719755928685;22,180819523249;31,1;161
312;50,4721630201743;22,1822015140144;31,2;167
313;50,4723504311161;22,1835835157369;31,3;158
314;50,4725378256936;22,1849655284156;31,4;167
315;50,4727252039067;22,1863475520498;31,5;167
316;50,472912565755;22,1877295866387;31,6;177
317;50,4730999112384;22,1891116321814;31,7;189
318;50,4732872403566;22,1904936886772;31,8;163
319;50,4734745531094;22,1918757561253;31,9;171
320;50,4736618494964;22,1932578345248;32;180
321;50,4738491295176;22,1946399238751;32,1;171
322;50,4740363931727;22,1960220241752;32,2;166
323;50,4742236404613;22,1974041354244;32,3;146
324;50,4744108713833;22,1987862576218;32,4;165
325;50,4745980859385;22,2001683907668;32,5;161
326;50,4747852841265;22,2015505348584;32,6;158
327;50,4749724659472;22,202932689896;32,7;156
328;50,4751596314003;22,2043148558786;32,8;180
329;50,4753467804856;22,2056970328056;32,9;184
330;50,4755339132029;22,207079220676;33;144
331;50,4757210295518;22,2084614194892;33,1;152
332;50,4759081295323;22,2098436292442;33,2;146
333;50,4760952131439;22,2112258499404;33,3;152
334;50,4762822803865;22,2126080815768;33,4;150
335;50,4764693312599;22,2139903241528;33,5;154
336;50,4766563657638;22,2153725776675;33,6;157
337;50,476843383898;22,2167548421201;33,7;156
338;50,4770303856622;22,2181371175098;33,8;156
339;50,4772173710562;22,2195194038359;33,9;160
340;50,4774043400797;22,2209017010974;34;155
341;50,4775912927326;22,2222840092937;34,1;154
342;50,4777782290146;22,2236663284239;34,2;153
343;50,4779651489254;22,2250486584873;34,3;151
344;50,4781520524648;22,226430999483;34,4;143
345;50,4783389396325;22,2278133514101;34,5;153
346;50,4785258104284;22,2291957142681;34,6;152
347;50,4787126648522;22,2305780880559;34,7;149
348;50,4788995029037;22,2319604727729;34,8;151
349;50,4790863245825;22,2333428684182;34,9;154
350;50,4792731298886;22,2347252749911;35;154
351;50,4794599188215;22,2361076924907;35,1;157
352;50,4796466913812;22,2374901209162;35,2;160
353;50,4798334475673;22,2388725602669;35,3;155
354;50,4800201873797;22,2402550105419;35,4;154
355;50,480206910818;22,2416374717405;35,5;159
356;50,4803936178821;22,2430199438618;35,6;156
357;50,4805803085717;22,2444024269051;35,7;156
358;50,4807669828866;22,2457849208694;35,8;155
359;50,4809536408265;22,2471674257542;35,9;155
360;50,4811402823912;22,2485499415585;36;154
361;50,4813269075804;22,2499324682815;36,1;149
362;50,481513516394;22,2513150059225;36,2;147
363;50,4817001088316;22,2526975544806;36,3;157
364;50,4818866848931;22,2540801139551;36,4;161
365;50,4820732445782;22,2554626843451;36,5;166
366;50,4822597878867;22,2568452656498;36,6;162
367;50,4824463148183;22,2582278578686;36,7;155
368;50,4826328253728;22,2596104610004;36,8;149
369;50,4828193195499;22,2609930750447;36,9;157
370;50,4830057973495;22,2623757000004;37;162
371;50,4831922587712;22,2637583358669;37,1;157
372;50,4833787038149;22,2651409826434;37,2;158
373;50,4835651324802;22,266523640329;37,3;151
374;50,4837515447671;22,267906308923;37,4;139
375;50,4839379406751;22,2692889884245;37,5;147
376;50,4841243202042;22,2706716788328;37,6;141
377;50,484310683354;22,272054380147;37,7;138
378;50,4844970301243;22,2734370923664;37,8;138
379;50,4846833605149;22,2748198154901;37,9;139
380;50,4848696745255;22,2762025495174;38;142
381;50,4850559721559;22,2775852944474;38,1;138
382;50,4852422534059;22,2789680502794;38,2;148
383;50,4854285182753;22,2803508170125;38,3;159
384;50,4856147667637;22,281733594646;38,4;151
385;50,4858009988709;22,283116383179;38,5;148
386;50,4859872145968;22,2844991826108;38,6;153
387;50,486173413941;22,2858819929405;38,7;161
388;50,4863595969034;22,2872648141673;38,8;175
389;50,4865457634837;22,2886476462905;38,9;175
390;50,4867319136816;22,2900304893093;39;163
391;50,486918047497;22,2914133432228;39,1;165
392;50,4871041649295;22,2927962080302;39,2;154
393;50,487290265979;22,2941790837307;39,3;159
394;50,4874763506452;22,2955619703237;39,4;164
395;50,4876624189279;22,2969448678081;39,5;172
396;50,4878484708268;22,2983277761833;39,6;172
397;50,4880345063418;22,2997106954484;39,7;165
398;50,4882205254724;22,3010936256027;39,8;186
399;50,4884065282186;22,3024765666452;39,9;185
400;50,4885925145801;22,3038595185754;40;161
401;50,4887784845567;22,3052424813922;40,1;171
402;50,488964438148;22,306625455095;40,2;166
403;50,489150375354;22,3080084396829;40,3;176
404;50,4893362961743;22,3093914351551;40,4;166
405;50,4895222006086;22,3107744415109;40,5;186
406;50,4897080886569;22,3121574587494;40,6;170
407;50,4898939603187;22,3135404868698;40,7;178
408;50,490079815594;22,3149235258713;40,8;178
409;50,4902656544824;22,3163065757532;40,9;179
410;50,4904514769837;22,3176896365145;41;180
411;50,4906372830977;22,3190727081546;41,1;189
412;50,4908230728242;22,3204557906726;41,2;180
413;50,4910088461628;22,3218388840677;41,3;201
414;50,4911946031134;22,3232219883391;41,4;172
415;50,4913803436757;22,324605103486;41,5;185
416;50,4915660678496;22,3259882295076;41,6;191
417;50,4917517756346;22,3273713664031;41,7;193
418;50,4919374670308;22,3287545141717;41,8;177
419;50,4921231420376;22,3301376728126;41,9;173
420;50,4923088006551;22,331520842325;42;169
421;50,4924944428828;22,3329040227081;42,1;168
422;50,4926800687206;22,3342872139611;42,2;181
423;50,4928656781682;22,3356704160832;42,3;176
424;50,4930512712255;22,3370536290735;42,4;176
425;50,4932368478921;22,3384368529313;42,5;175
426;50,4934224081678;22,3398200876559;42,6;181
427;50,4936079520524;22,3412033332462;42,7;178
428;50,4937934795456;22,3425865897017;42,8;172
429;50,4939789906473;22,3439698570214;42,9;177
430;50,4941644853571;22,3453531352046;43;178
431;50,4943499636749;22,3467364242505;43,1;159
432;50,4945354256003;22,3481197241582;43,2;160
433;50,4947208711333;22,349503034927;43,3;155
434;50,4949063002734;22,350886356556;43,4;167
435;50,4950917130206;22,3522696890445;43,5;167
436;50,4952771093745;22,3536530323917;43,6;161
437;50,4954624893349;22,3550363865966;43,7;155
438;50,4956478529016;22,3564197516587;43,8;169
439;50,4958332000744;22,3578031275769;43,9;184
440;50,4960185308529;22,3591865143506;44;168
441;50,496203845237;22,3605699119789;44,1;154
442;50,4963891432265;22,3619533204611;44,2;155
443;50,496574424821;22,3633367397963;44,3;164
444;50,4967596900204;22,3647201699837;44,4;155
445;50,4969449388245;22,3661036110225;44,5;157
446;50,4971301712329;22,3674870629119;44,6;159
447;50,4973153872455;22,3688705256511;44,7;147
448;50,4975005868619;22,3702539992394;44,8;159
449;50,4976857700821;22,3716374836758;44,9;159
450;50,4978709369057;22,3730209789596;45;169
451;50,4980560873325;22,3744044850901;45,1;171
452;50,4982412213623;22,3757880020663;45,2;161
453;50,4984263389948;22,3771715298875;45,3;163
454;50,4986114402298;22,3785550685529;45,4;177
455;50,4987965250671;22,3799386180616;45,5;176
456;50,4989815935063;22,381322178413;45,6;176
457;50,4991666455474;22,3827057496061;45,7;164
458;50,49935168119;22,3840893316401;45,8;168
459;50,4995367004339;22,3854729245144;45,9;166
460;50,499721703279;22,3868565282279;46;170
461;50,4999066897248;22,3882401427801;46,1;174
462;50,5000916597713;22,38962376817;46,2;162
463;50,5002766134181;22,3910074043968;46,3;166
464;50,500461550665;22,3923910514597;46,4;173
465;50,5006464715118;22,393774709358;46,5;178
466;50,5008313759583;22,3951583780908;46,6;175
467;50,5010162640042;22,3965420576573;46,7;161
468;50,5012011356494;22,3979257480568;46,8;163
469;50,5013859908934;22,3993094492883;46,9;162
470;50,5015708297362;22,4006931613512;47;166
471;50,5017556521774;22,4020768842445;47,1;168
472;50,5019404582169;22,4034606179676;47,2;163
473;50,5021252478544;22,4048443625195;47,3;177
474;50,5023100210897;22,4062281178996;47,4;173
475;50,5024947779225;22,4076118841069;47,5;212
476;50,5026795183525;22,4089956611407;47,6;224
477;50,5028642423797;22,4103794490001;47,7;186
478;50,5030489500037;22,4117632476845;47,8;198
479;50,5032336412242;22,4131470571928;47,9;204
480;50,5034183160411;22,4145308775245;48;205
481;50,5036029744542;22,4159147086786;48,1;186
482;50,5037876164631;22,4172985506543;48,2;201
483;50,5039722420676;22,4186824034508;48,3;190
484;50,5041568512676;22,4200662670674;48,4;190
485;50,5043414440627;22,4214501415032;48,5;165
486;50,5045260204528;22,4228340267575;48,6;169
487;50,5047105804376;22,4242179228293;48,7;160
