Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
134;49,6066262007226;20,1885638995128;13,4;623
135;49,6058378377632;20,1892316686882;13,5;634
136;49,6050494709627;20,1898994162673;13,6;644
137;49,6042611003214;20,1905671422512;13,7;664
138;49,6034727258396;20,1912348466412;13,8;665
139;49,6026843475173;20,1919025294385;13,9;664
140;49,601895965355;20,1925701906442;14;671
141;49,6011075793528;20,1932378302595;14,1;666
142;49,6003191895109;20,1939054482857;14,2;676
143;49,5995307958297;20,1945730447239;14,3;700
144;49,5987423983092;20,1952406195753;14,4;716
145;49,5979539969497;20,1959081728412;14,5;747
146;49,5971655917516;20,1965757045227;14,6;783
147;49,5963771827149;20,1972432146209;14,7;820
148;49,59558876984;20,1979107031372;14,8;833
149;49,594800353127;20,1985781700727;14,9;846
150;49,5940119325763;20,1992456154286;15;838
151;49,5932235081879;20,1999130392061;15,1;838
152;49,5924350799623;20,2005804414063;15,2;826
153;49,5916466478995;20,2012478220305;15,3;833
154;49,5908582119998;20,2019151810799;15,4;855
155;49,5900697722635;20,2025825185557;15,5;907
156;49,5892813286908;20,203249834459;15,6;952
157;49,5884928812819;20,2039171287911;15,7;995
158;49,587704430037;20,2045844015531;15,8;1017
159;49,5869159749564;20,2052516527462;15,9;997
160;49,5861275160403;20,2059188823717;16;969
161;49,585339053289;20,2065860904307;16,1;933
162;49,5845505867026;20,2072532769245;16,2;891
163;49,5837621162814;20,2079204418541;16,3;865
164;49,5829736420256;20,2085875852209;16,4;830
165;49,5821851639355;20,2092547070259;16,5;821
166;49,5813966820114;20,2099218072704;16,6;820
167;49,5806081962533;20,2105888859557;16,7;817
168;49,5798197066615;20,2112559430828;16,8;833
169;49,5790312132364;20,2119229786529;16,9;818
170;49,5782427159781;20,2125899926674;17;853
171;49,5774542148868;20,2132569851273;17,1;886
172;49,5766657099628;20,2139239560338;17,2;915
173;49,5758772012063;20,2145909053882;17,3;906
174;49,5750886886175;20,2152578331916;17,4;885
175;49,5743001721968;20,2159247394452;17,5;846
176;49,5735116519442;20,2165916241503;17,6;826
177;49,57272312786;20,217258487308;17,7;802
178;49,5719345999445;20,2179253289195;17,8;782
179;49,5711460681979;20,2185921489859;17,9;760
180;49,5703575326204;20,2192589475086;18;761
181;49,5695689932123;20,2199257244886;18,1;764
182;49,5687804499737;20,2205924799272;18,2;784
183;49,567991902905;20,2212592138256;18,3;812
184;49,5672033520063;20,2219259261849;18,4;835
185;49,5664147972778;20,2225926170064;18,5;880
186;49,5656262387199;20,2232592862912;18,6;890
187;49,5648376763327;20,2239259340406;18,7;910
188;49,5640491101165;20,2245925602556;18,8;901
189;49,5632605400715;20,2252591649376;18,9;892
190;49,5624719661979;20,2259257480877;19;889
191;49,561683388496;20,2265923097071;19,1;872
192;49,5608948069659;20,2272588497969;19,2;887
193;49,560106221608;20,2279253683584;19,3;945
194;49,5593176324224;20,2285918653929;19,4;983
195;49,5585290394094;20,2292583409013;19,5;1026
196;49,5577404425692;20,229924794885;19,6;1054
197;49,556951841902;20,2305912273452;19,7;1075
198;49,5561632374081;20,231257638283;19,8;1060
199;49,5553746290877;20,2319240276996;19,9;1020
200;49,554586016941;20,2325903955962;20;981
201;49,5537974009683;20,233256741974;20,1;944
202;49,5530087811698;20,2339230668343;20,2;912
203;49,5522201575457;20,2345893701781;20,3;883
204;49,5514315300963;20,2352556520066;20,4;850
205;49,5506428988217;20,2359219123212;20,5;855
206;49,5498542637223;20,2365881511229;20,6;885
207;49,5490656247982;20,2372543684129;20,7;927
208;49,5482769820496;20,2379205641925;20,8;946
209;49,5474883354769;20,2385867384628;20,9;947
210;49,5466996850802;20,239252891225;21;957
211;49,5459110308597;20,2399190224803;21,1;962
212;49,5451223728158;20,24058513223;21,2;931
213;49,5443337109485;20,241251220475;21,3;907
214;49,5435450452582;20,2419172872168;21,4;879
215;49,5427563757451;20,2425833324565;21,5;856
216;49,5419677024094;20,2432493561951;21,6;838
217;49,5411790252514;20,2439153584341;21,7;813
218;49,5403903442712;20,2445813391744;21,8;814
219;49,5396016594691;20,2452472984174;21,9;854
220;49,5388129708454;20,2459132361642;22;890
221;49,5380242784002;20,2465791524159;22,1;881
222;49,5372355821338;20,2472450471739;22,2;857
223;49,5364468820464;20,2479109204392;22,3;864
224;49,5356581781383;20,2485767722131;22,4;868
225;49,5348694704096;20,2492426024968;22,5;903
226;49,5340807588607;20,2499084112914;22,6;923
227;49,5332920434917;20,2505741985981;22,7;903
228;49,5325033243029;20,2512399644182;22,8;888
229;49,5317146012945;20,2519057087527;22,9;851
230;49,5309258744667;20,2525714316029;23;830
231;49,5301371438197;20,2532371329701;23,1;806
232;49,5293484093539;20,2539028128553;23,2;788
233;49,5285596710694;20,2545684712597;23,3;755
234;49,5277709289664;20,2552341081846;23,4;716
235;49,5269821830452;20,2558997236312;23,5;706
236;49,526193433306;20,2565653176005;23,6;686
237;49,525404679749;20,2572308900939;23,7;692
238;49,5246159223745;20,2578964411125;23,8;713
239;49,5238271611827;20,2585619706574;23,9;710
240;49,5230383961738;20,25922747873;24;699
241;49,5222496273481;20,2598929653313;24,1;690
242;49,5214608547058;20,2605584304625;24,2;673
243;49,5206720782471;20,2612238741249;24,3;654
244;49,5198832979722;20,2618892963196;24,4;652
245;49,5190945138814;20,2625546970478;24,5;608
246;49,5183057259749;20,2632200763107;24,6;574
247;49,517516934253;20,2638854341095;24,7;571
248;49,5167281387157;20,2645507704453;24,8;572
249;49,5159393393635;20,2652160853195;24,9;595
250;49,5151505361965;20,265881378733;25;625
251;49,514361729215;20,2665466506872;25,1;635
252;49,5135729184191;20,2672119011832;25,2;645
253;49,5127841038092;20,2678771302223;25,3;662
254;49,5119952853854;20,2685423378055;25,4;666
255;49,5112064631479;20,2692075239341;25,5;654
256;49,5104176370971;20,2698726886092;25,6;659
257;49,5096288072331;20,2705378318321;25,7;686
258;49,5088399735561;20,271202953604;25,8;733
259;49,5080511360664;20,2718680539259;25,9;749
260;49,5072622947642;20,2725331327992;26;781
261;49,5064734496498;20,273198190225;26,1;789
262;49,5056846007234;20,2738632262044;26,2;811
263;49,5048957479851;20,2745282407388;26,3;779
264;49,5041068914353;20,2751932338291;26,4;738
265;49,5033180310741;20,2758582054767;26,5;762
266;49,5025291669018;20,2765231556828;26,6;744
267;49,5017402989187;20,2771880844484;26,7;716
268;49,5009514271249;20,2778529917749;26,8;736
269;49,5001625515207;20,2785178776633;26,9;781
270;49,4993736721062;20,2791827421149;27;792
271;49,4985847888819;20,2798475851308;27,1;806
272;49,4977959018477;20,2805124067123;27,2;809
273;49,4970070110041;20,2811772068605;27,3;820
274;49,4962181163512;20,2818419855766;27,4;815
275;49,4954292178892;20,2825067428618;27,5;859
276;49,4946403156184;20,2831714787173;27,6;874
277;49,4938514095391;20,2838361931442;27,7;910
278;49,4930624996513;20,2845008861438;27,8;921
279;49,4922735859555;20,2851655577172;27,9;973
280;49,4914846684517;20,2858302078656;28;997
281;49,4906957471403;20,2864948365902;28,1;1001
282;49,4899068220214;20,2871594438922;28,2;976
283;49,4891178930952;20,2878240297728;28,3;962
284;49,4883289603621;20,2884885942331;28,4;960
285;49,4875400238223;20,2891531372744;28,5;950
286;49,4867510834759;20,2898176588978;28,6;901
287;49,4859621393232;20,2904821591045;28,7;907
288;49,4851731913644;20,2911466378957;28,8;884
289;49,4843842395998;20,2918110952725;28,9;848
290;49,4835952840296;20,2924755312362;29;851
291;49,482806324654;20,293139945788;29,1;829
292;49,4820173614732;20,2938043389289;29,2;804
293;49,4812283944875;20,2944687106603;29,3;782
294;49,4804394236971;20,2951330609833;29,4;771
295;49,4796504491022;20,295797389899;29,5;760
296;49,4788614707031;20,2964616974088;29,6;770
297;49,4780724884999;20,2971259835136;29,7;770
298;49,477283502493;20,2977902482148;29,8;794
299;49,4764945126825;20,2984544915135;29,9;789
300;49,4757055190687;20,2991187134108;30;781
301;49,4749165216518;20,2997829139081;30,1;759
302;49,474127520432;20,3004470930064;30,2;720
303;49,4733385154096;20,3011112507069;30,3;735
304;49,4725495065847;20,3017753870109;30,4;716
305;49,4717604939577;20,3024395019195;30,5;668
306;49,4709714775287;20,3031035954338;30,6;675
307;49,470182457298;20,3037676675552;30,7;672
308;49,4693934332657;20,3044317182847;30,8;694
309;49,4686044054323;20,3050957476235;30,9;719
310;49,4678153737977;20,3057597555728;31;717
311;49,4670263383624;20,3064237421339;31,1;725
312;49,4662372991264;20,3070877073078;31,2;719
313;49,4654482560901;20,3077516510958;31,3;709
314;49,4646592092537;20,308415573499;31,4;683
315;49,4638701586173;20,3090794745187;31,5;683
316;49,4630811041813;20,3097433541559;31,6;644
317;49,4622920459459;20,310407212412;31,7;643
318;49,4615029839112;20,311071049288;31,8;664
319;49,4607139180775;20,3117348647852;31,9;656
320;49,4599248484451;20,3123986589048;32;651
321;49,4591357750141;20,3130624316478;32,1;618
322;49,4583466977849;20,3137261830156;32,2;605
323;49,4575576167575;20,3143899130092;32,3;613
324;49,4567685319323;20,3150536216299;32,4;658
325;49,4559794433095;20,3157173088788;32,5;664
326;49,4558299894966;20,3158430088367;32,51894;671
