Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
134;49,609564375976;20,1445796443743;13,4;592
135;49,6095804309046;20,1459672809002;13,5;612
136;49,6095964692468;20,1473549183397;13,6;630
137;49,6096124910025;20,1487425566918;13,7;637
138;49,6096284961717;20,1501301959556;13,8;620
139;49,6096444847545;20,1515178361302;13,9;596
140;49,6096604567508;20,1529054772146;14;575
141;49,6096764121606;20,1542931192078;14,1;560
142;49,6096923509838;20,155680762109;14,2;557
143;49,6097082732204;20,1570684059172;14,3;565
144;49,6097241788705;20,1584560506315;14,4;585
145;49,609740067934;20,1598436962508;14,5;600
146;49,6097559404108;20,1612313427743;14,6;609
147;49,609771796301;20,162618990201;14,7;608
148;49,6097876356045;20,1640066385299;14,8;605
149;49,6098034583214;20,1653942877602;14,9;593
150;49,6098192644515;20,1667819378909;15;579
151;49,609835053995;20,168169588921;15,1;567
152;49,6098508269517;20,1695572408496;15,2;573
153;49,6098665833216;20,1709448936758;15,3;578
154;49,6098823231047;20,1723325473986;15,4;576
155;49,6098980463011;20,173720202017;15,5;578
156;49,6099137529106;20,1751078575302;15,6;585
157;49,6099294429333;20,1764955139372;15,7;589
158;49,6099451163691;20,177883171237;15,8;593
159;49,609960773218;20,1792708294286;15,9;588
160;49,60997641348;20,1806584885113;16;591
161;49,6099920371551;20,1820461484839;16,1;599
162;49,6100076442433;20,1834338093456;16,2;597
163;49,6100232347445;20,1848214710954;16,3;588
164;49,6100388086587;20,1862091337324;16,4;573
165;49,6100543659859;20,1875967972557;16,5;580
166;49,6100699067261;20,1889844616642;16,6;598
167;49,6100854308793;20,1903721269571;16,7;611
168;49,6101009384454;20,1917597931334;16,8;598
169;49,6101164294244;20,1931474601921;16,9;572
170;49,6101319038163;20,1945351281324;17;575
171;49,6101473616211;20,1959227969532;17,1;587
172;49,6101628028388;20,1973104666537;17,2;590
173;49,6101782274693;20,1986981372328;17,3;597
174;49,6101936355126;20,2000858086897;17,4;603
175;49,6102090269687;20,2014734810234;17,5;605
176;49,6102244018377;20,2028611542329;17,6;606
177;49,6102397601193;20,2042488283174;17,7;614
178;49,6102551018138;20,2056365032758;17,8;627
179;49,6102704269209;20,2070241791073;17,9;640
180;49,6102857354408;20,2084118558108;18;656
181;49,6103010273733;20,2097995333855;18,1;661
182;49,6103163027185;20,2111872118304;18,2;667
183;49,6103315614764;20,2125748911445;18,3;683
184;49,6103468036468;20,213962571327;18,4;698
185;49,6103620292299;20,2153502523768;18,5;690
186;49,6103772382256;20,216737934293;18,6;731
187;49,6103924306338;20,2181256170747;18,7;774
188;49,6104076064546;20,219513300721;18,8;782
189;49,610422765688;20,2209009852308;18,9;786
190;49,6104379083338;20,2222886706033;19;804
191;49,6104530343922;20,2236763568375;19,1;810
192;49,610468143863;20,2250640439325;19,2;804
193;49,6104832367462;20,2264517318872;19,3;782
194;49,6104983130419;20,2278394207009;19,4;763
195;49,61051337275;20,2292271103725;19,5;743
196;49,6105284158706;20,2306148009011;19,6;733
197;49,6105434424034;20,2320024922857;19,7;718
198;49,6105584523487;20,2333901845254;19,8;705
199;49,6105734457063;20,2347778776193;19,9;693
200;49,6105884224762;20,2361655715664;20;658
201;49,6106033826584;20,2375532663657;20,1;646
202;49,6106183262529;20,2389409620164;20,2;647
203;49,6106332532597;20,2403286585175;20,3;694
204;49,6106481636787;20,241716355868;20,4;718
205;49,61066305751;20,243104054067;20,5;743
206;49,6106779347534;20,2444917531136;20,6;780
207;49,610692795409;20,2458794530068;20,7;798
208;49,6107076394768;20,2472671537456;20,8;829
209;49,6107224669568;20,2486548553292;20,9;850
